Year,Month,Day,Hour,Tair,Tdew,RelH,WndS,WndD,Pres
2015,1,1,0,-14.3,-18.8,69.0,5.0,230.0,1013.7
2015,1,1,1,-13.8,-19.1,65.0,7.0,200.0,1013.3
2015,1,1,2,-14.1,-18.8,68.0,7.0,250.0,1012.7
2015,1,1,3,-13.5,-18.6,66.0,8.0,180.0,1012.3
2015,1,1,4,-12.0,-17.3,65.0,6.0,200.0,1011.6
2015,1,1,5,-11.2,-16.9,63.0,8.0,200.0,1010.7
2015,1,1,6,-9.9,-14.8,68.0,13.0,190.0,1010.1
2015,1,1,7,-8.9,-13.6,69.0,26.0,200.0,1009.6
2015,1,1,8,-8.6,-12.3,75.0,26.0,190.0,1009.5
2015,1,1,9,-8.1,-12.0,74.0,22.0,190.0,1009.9
2015,1,1,10,-7.1,-11.0,74.0,24.0,180.0,1009.7
2015,1,1,11,-6.4,-10.3,74.0,25.0,180.0,1009.0
2015,1,1,12,-5.4,-9.9,71.0,23.0,170.0,1007.5
2015,1,1,13,-4.7,-8.7,74.0,19.0,160.0,1005.5
2015,1,1,14,-4.3,-7.9,76.0,12.0,160.0,1004.5
2015,1,1,15,-4.7,-6.7,86.0,10.0,170.0,1004.3
2015,1,1,16,-3.5,-6.6,79.0,11.0,180.0,1003.8
2015,1,1,17,-4.4,-9.6,67.0,15.0,210.0,1004.2
2015,1,1,18,-5.9,-10.5,70.0,8.0,230.0,1004.9
2015,1,1,19,-6.0,-10.3,72.0,6.0,220.0,1005.3
2015,1,1,20,-5.3,-10.3,68.0,12.0,230.0,1005.3
2015,1,1,21,-5.6,-11.2,65.0,7.0,220.0,1005.2
2015,1,1,22,-7.2,-12.5,66.0,10.0,180.0,1005.1
2015,1,1,23,-4.6,-7.4,81.0,12.0,200.0,1005.0
2015,1,2,0,-4.0,-6.2,85.0,12.0,210.0,1004.7
2015,1,2,1,-4.4,-5.5,92.0,12.0,200.0,1004.3
2015,1,2,2,-4.8,-7.6,81.0,10.0,190.0,1004.1
2015,1,2,3,-4.7,-6.7,86.0,13.0,180.0,1003.9
2015,1,2,4,-4.1,-6.4,84.0,10.0,180.0,1003.0
2015,1,2,5,-3.5,-7.5,74.0,9.0,220.0,1002.4
2015,1,2,6,-4.2,-5.6,90.0,9.0,210.0,1002.4
2015,1,2,7,-5.0,-5.8,94.0,9.0,190.0,1002.6
2015,1,2,8,-6.0,-6.5,96.0,7.0,190.0,1003.1
2015,1,2,9,-4.8,-6.1,91.0,9.0,190.0,1003.4
2015,1,2,10,-2.7,-7.1,72.0,14.0,240.0,1003.5
2015,1,2,11,-3.0,-9.7,60.0,18.0,240.0,1003.4
2015,1,2,12,-2.6,-9.6,59.0,17.0,250.0,1002.6
2015,1,2,13,-1.7,-9.4,56.0,22.0,250.0,1002.3
2015,1,2,14,-2.2,-10.6,53.0,20.0,250.0,1002.2
2015,1,2,15,-1.1,-9.5,53.0,16.0,270.0,1002.5
2015,1,2,16,-2.9,-9.2,62.0,19.0,260.0,1003.2
2015,1,2,17,-3.3,-9.0,65.0,18.0,280.0,1004.0
2015,1,2,18,-4.5,-10.7,62.0,22.0,280.0,1005.3
2015,1,2,19,-5.2,-13.1,54.0,31.0,280.0,1006.8
2015,1,2,20,-6.1,-13.3,57.0,26.0,280.0,1008.5
2015,1,2,21,-7.7,-16.0,52.0,25.0,300.0,1009.6
